,IC_mean,IC_std,ICIR,RankIC_mean,RankIC_std,RankICIR,IC_positive_ratio,abs_IC_mean
MAX60,0.0008201241,0.21670358,0.0037845431,-0.0033450367752467275,0.22099551420656907,-0.015136219555831604,0.4925266903914591,0.16602786
ROC60,0.0019348372,0.20218919,0.009569438,-0.0013005778907304456,0.204113116411486,-0.006371848364658916,0.4875444839857651,0.1545749
STD60,-0.0028883747,0.20125528,-0.014351795,-0.007100330521368595,0.20070274664929927,-0.035377344287181145,0.498220640569395,0.15411259
MAX30,0.0039050751,0.20149542,0.019380463,-1.7189731125874372e-05,0.20999569340797142,-8.185753730626972e-05,0.5081850533807829,0.15393306
QTLU60,0.0027771275,0.20028713,0.01386573,0.0011578213932020407,0.20741340110002993,0.005582191561584484,0.49608540925266903,0.15160474
MAX20,0.0050071157,0.19681643,0.025440535,4.8315919140740624e-05,0.2055229258340113,0.00023508772363860418,0.5067615658362989,0.15008734
BETA60,-0.0009196854,0.19443166,-0.004730121,0.0008764140333605824,0.19643078797950586,0.004461693595787464,0.5231316725978647,0.14916821
MA60,0.0049260124,0.19411281,0.025377057,0.0031796952299729484,0.19926806205440126,0.01595687255460009,0.5039145907473309,0.14861903
STD30,-0.0021382796,0.19444115,-0.010997051,-0.009637090634926076,0.1956889951775928,-0.04924697034552436,0.4875444839857651,0.14803138
KLEN,-0.0014911244,0.18832916,-0.007917649,-0.005083038998953478,0.1812245583930014,-0.028048288617967414,0.4918149466192171,0.1453564
STD20,-0.002355196,0.19227044,-0.0122493915,-0.010680825493064977,0.19683907391258473,-0.05426171104214384,0.4875444839857651,0.1446788
SUMN60,-0.00076103717,0.18632181,-0.0040845303,-0.0030999475358951963,0.20339117600612572,-0.015241307142000894,0.4740213523131673,0.14291841
SUMD60,0.0007483844,0.18627365,0.004017661,0.0030933615292301217,0.20337882300800808,0.015209849931179024,0.5259786476868328,0.14287485
SUMP60,0.00074446626,0.18620627,0.003998073,0.003090629257225013,0.20336954596768367,0.01519710874382854,0.5259786476868328,0.14280261
MAX10,0.0038295318,0.1880322,0.020366361,0.00026421649831666154,0.1966386542266613,0.0013436650383878966,0.5131672597864768,0.14227922
QTLU30,0.0069106375,0.18520913,0.037312616,0.004826972831439399,0.1989067529211123,0.024267514892662587,0.5138790035587188,0.14127369
ROC20,0.008334167,0.18349405,0.045419276,0.007098115406279686,0.19456810023786553,0.0364813915168422,0.5252669039145907,0.14114717
MA30,0.0073638293,0.18385531,0.040052302,0.0065875783984228374,0.19477313124705367,0.03382180087174873,0.5124555160142349,0.14073645
STD10,-0.0018228643,0.18823837,-0.009683807,-0.007164288947496589,0.19356242468571178,-0.03701280653515895,0.49466192170818507,0.14009151
MA20,0.006428948,0.1819111,0.03534115,0.006281852196224749,0.1932208378111218,0.03251125469838233,0.5039145907473309,0.1392965
QTLU20,0.0056714322,0.18269332,0.031043455,0.004905687258413343,0.1959471951365948,0.025035760295706123,0.5131672597864768,0.13903502
ROC30,0.0060961563,0.18197271,0.033500385,0.004662570176777656,0.1890590583869285,0.024661975839398696,0.5160142348754448,0.13877827
