,MOM5,MOM20,MOM60,MOM_DIVERGE,MOM_ACCEL,VOL_RATIO_5_20,VOL_RATIO_20_60,AVG_RANGE_10,VOL_SURGE_5_20,VP_CORR_20,OBV_RATIO_10,DIST_MA20,RSI_14
MOM5,1.0,0.5120259899093503,0.2991628489658591,0.03729926312013128,0.34261963670630746,-0.029053545172183417,-0.07545276343417262,-0.15260055244124268,-0.19419930810257865,0.2706797394207159,0.5165758563737806,0.7081381676140416,0.5271359968640406
MOM20,0.5120259899093503,1.0,0.5712347025403302,-0.4187175014891006,0.7379607586546029,0.0003742240631016074,-0.08315681921083581,-0.472371519456142,-0.09802650294983381,0.5161961926249002,0.4642669745106261,0.6459258829285148,0.6942865312014234
MOM60,0.2991628489658591,0.5712347025403302,1.0,-0.9423795251752328,0.09559139296105487,0.05642467242912218,-0.08220536165205602,-0.40379607187030975,-0.01944339284953105,0.25712442091401017,0.2594847225897237,0.3634482583977576,0.3943482524909665
MOM_DIVERGE,0.03729926312013128,-0.4187175014891006,-0.9423795251752328,1.0,0.020013636932163018,-0.06927793365296761,0.05963701171681271,0.3693800701798882,-0.04772435893907908,-0.17437685214008924,-0.09063690464670865,-0.13235222268292451,-0.2281725885077959
MOM_ACCEL,0.34261963670630746,0.7379607586546029,0.09559139296105487,0.020013636932163018,1.0,-0.030612709002372108,-0.004548085452037871,-0.29934344059200013,-0.06793921369764731,0.42667821249759524,0.3279859654328205,0.4773991596423624,0.5317174255746127
VOL_RATIO_5_20,-0.029053545172183417,0.0003742240631016074,0.05642467242912218,-0.06927793365296761,-0.030612709002372108,1.0,-0.2566287473912419,-0.013259946883555527,0.3784246487425903,-0.06673378673336697,-0.06691279746324806,-0.04708040514104466,-0.09784102826648103
VOL_RATIO_20_60,-0.07545276343417262,-0.08315681921083581,-0.08220536165205602,0.05963701171681271,-0.004548085452037871,-0.2566287473912419,1.0,0.08068506198512648,0.13795820915571022,-0.07802216914280288,-0.036497763598536334,-0.1044343580553482,-0.07551841459585122
AVG_RANGE_10,-0.15260055244124268,-0.472371519456142,-0.40379607187030975,0.3693800701798882,-0.29934344059200013,-0.013259946883555527,0.08068506198512648,1.0,0.0867081057013115,-0.04978696374039218,-0.12927879680182738,-0.1850467767797871,-0.20892693185587338
VOL_SURGE_5_20,-0.19419930810257865,-0.09802650294983381,-0.01944339284953105,-0.04772435893907908,-0.06793921369764731,0.3784246487425903,0.13795820915571022,0.0867081057013115,1.0,-0.10041015827049203,-0.17341843532612441,-0.2044589045409238,-0.19878762142948744
VP_CORR_20,0.2706797394207159,0.5161961926249002,0.25712442091401017,-0.17437685214008924,0.42667821249759524,-0.06673378673336697,-0.07802216914280288,-0.04978696374039218,-0.10041015827049203,1.0,0.3071106553096024,0.43203631606825094,0.48815513176761244
OBV_RATIO_10,0.5165758563737806,0.4642669745106261,0.2594847225897237,-0.09063690464670865,0.3279859654328205,-0.06691279746324806,-0.036497763598536334,-0.12927879680182738,-0.17341843532612441,0.3071106553096024,1.0,0.6929327113668214,0.655477677605855
DIST_MA20,0.7081381676140416,0.6459258829285148,0.3634482583977576,-0.13235222268292451,0.4773991596423624,-0.04708040514104466,-0.1044343580553482,-0.1850467767797871,-0.2044589045409238,0.43203631606825094,0.6929327113668214,1.0,0.8360572877558519
RSI_14,0.5271359968640406,0.6942865312014234,0.3943482524909665,-0.2281725885077959,0.5317174255746127,-0.09784102826648103,-0.07551841459585122,-0.20892693185587338,-0.19878762142948744,0.48815513176761244,0.655477677605855,0.8360572877558519,1.0
