,IC_mean,IC_std,ICIR,RankIC_mean,RankIC_std,RankICIR,IC_positive_ratio,abs_IC_mean
AVG_RANGE_10,-0.003726794,0.2389678,-0.01559538,-0.007394991051827231,0.2283479775531255,-0.03238474370222674,0.48469750889679714,0.18855985
MOM60,-0.00045888772,0.19861707,-0.002310414,0.0011849701497474335,0.20438226104359242,0.0057978128127106135,0.5181494661921708,0.1517575
MOM_DIVERGE,-0.002064783,0.19328041,-0.010682835,-0.0022419856652367742,0.2009545348914412,-0.01115668056399486,0.47686832740213525,0.14734937
MOM20,-0.0067419834,0.1831545,-0.03681036,-0.0069938645162836,0.19499550102017923,-0.03586679754673858,0.4889679715302491,0.14028852
MOM5,-0.0056252116,0.17461275,-0.032215353,-0.00517004611080359,0.187309526517237,-0.027601617124965873,0.498932384341637,0.13031873
MOM_ACCEL,-0.0088080745,0.16687557,-0.052782282,-0.007680789855626233,0.17858314749019982,-0.043009598237435887,0.4718861209964413,0.12752236
RSI_14,-0.0024547034,0.16081923,-0.015263742,-0.0034483293084642285,0.18137166690286177,-0.019012501661497396,0.498932384341637,0.12484538
DIST_MA20,-0.0058796145,0.15497895,-0.037938148,-0.006792881572621506,0.17502925543039363,-0.03880997589699037,0.501779359430605,0.12041256
OBV_RATIO_10,-0.0020904162,0.12367099,-0.016903043,-0.0030407341132779463,0.13776097412972704,-0.022072534778167247,0.500355871886121,0.09704832
VOL_RATIO_20_60,-0.002715914,0.10983147,-0.024728011,-0.005375160836272057,0.12458353492725406,-0.043145030424448776,0.4903914590747331,0.08033988
VOL_RATIO_5_20,0.002356421,0.101401515,0.023238517,0.005164721101518677,0.11512523729458196,0.04486175902235599,0.5316725978647687,0.077366404
VP_CORR_20,-0.0039613065,0.09869012,-0.040138833,-0.005534026412307646,0.108585558122472,-0.05096465863737898,0.505338078291815,0.076576985
VOL_SURGE_5_20,-0.00021922559,0.08112491,-0.0027023214,0.0006028555229068761,0.07920065152594163,0.007611748580021834,0.500355871886121,0.06286445
